"symbol","date","volume"
"DOGE","2017-08-23",5481120
"DOGE","2017-08-24",4796720
"DOGE","2017-08-25",2654040
"DOGE","2017-08-26",1935350
"DOGE","2017-08-27",2241620
"DOGE","2017-08-28",3210440
"DOGE","2017-08-29",6879110
"DOGE","2017-08-30",17500900
"DOGE","2017-08-31",12968400
"DOGE","2017-09-01",16681400
"DOGE","2017-09-02",23789600
"DOGE","2017-09-03",8700780
"DOGE","2017-09-04",11195900
"DOGE","2017-09-05",11565200
"DOGE","2017-09-06",11077100
"DOGE","2017-09-07",7589980
"DOGE","2017-09-08",10583000
"DOGE","2017-09-09",6441030
"DOGE","2017-09-10",10036300
"DOGE","2017-09-11",6644960
"DOGE","2017-09-12",8575960
"DOGE","2017-09-13",4788820
"DOGE","2017-09-14",13435300
"DOGE","2017-09-15",21413000
"DOGE","2017-09-16",13242000
"DOGE","2017-09-17",6776550
"DOGE","2017-09-18",7127750
"DOGE","2017-09-19",5206600
"DOGE","2017-09-20",4641920
"DOGE","2017-09-21",3157030
"DOGE","2017-09-22",3758470
"DOGE","2017-09-23",7670640
"DOGE","2017-09-24",4928520
"DOGE","2017-09-25",9597030
"DOGE","2017-09-26",9374910
"DOGE","2017-09-27",5371580
"DOGE","2017-09-28",4485170
"DOGE","2017-09-29",5674620
"DOGE","2017-09-30",4092970
"DOGE","2017-10-01",4295630
"DOGE","2017-10-02",3145110
"DOGE","2017-10-03",2044110
"DOGE","2017-10-04",2119210
"DOGE","2017-10-05",2656730
"DOGE","2017-10-06",1505160
"DOGE","2017-10-07",1488520
"DOGE","2017-10-08",2242630
"DOGE","2017-10-09",3065770
"DOGE","2017-10-10",1909730
"DOGE","2017-10-11",2390280
"DOGE","2017-10-12",3146680
"DOGE","2017-10-13",6885520
"DOGE","2017-10-14",2216010
"DOGE","2017-10-15",2164040
"DOGE","2017-10-16",6552920
"DOGE","2017-10-17",7260740
"DOGE","2017-10-18",2446530
"DOGE","2017-10-19",2189610
"DOGE","2017-10-20",3244930
"DOGE","2017-10-21",3157240
"DOGE","2017-10-22",2583310
"DOGE","2017-10-23",3524540
"DOGE","2017-10-24",5253740
"DOGE","2017-10-25",2198320
"DOGE","2017-10-26",1559670
"DOGE","2017-10-27",1414540
"DOGE","2017-10-28",1072410
"DOGE","2017-10-29",19651600
"DOGE","2017-10-30",2979150
"DOGE","2017-10-31",3075460
"DOGE","2017-11-01",2821950
"DOGE","2017-11-02",5326660
"DOGE","2017-11-03",2813240
"DOGE","2017-11-04",1986450
"DOGE","2017-11-05",1668270
"DOGE","2017-11-06",1997300
"DOGE","2017-11-07",2251920
"DOGE","2017-11-08",3528340
"DOGE","2017-11-09",6259550
"DOGE","2017-11-10",4246520
"DOGE","2017-11-11",2231080
"DOGE","2017-11-12",3288960
"DOGE","2017-11-13",2481270
"DOGE","2017-11-14",2660340
"DOGE","2017-11-15",2840180
"DOGE","2017-11-16",3423010
"DOGE","2017-11-17",2787480
"DOGE","2017-11-18",1648260
"DOGE","2017-11-19",1431720
"DOGE","2017-11-20",2141360
"DOGE","2017-11-21",3047660
"DOGE","2017-11-22",18841700
"DOGE","2017-11-23",26126500
"DOGE","2017-11-24",9585960
"DOGE","2017-11-25",5430930
"DOGE","2017-11-26",7670430
"DOGE","2017-11-27",6185790
"DOGE","2017-11-28",8317540
"DOGE","2017-11-29",11077200
"DOGE","2017-11-30",4919490
"DOGE","2017-12-01",5258110
"DOGE","2017-12-02",4978180
"DOGE","2017-12-03",4751640
"DOGE","2017-12-04",6307150
"DOGE","2017-12-05",8772420
"DOGE","2017-12-06",9047960
"DOGE","2017-12-07",15759300
"DOGE","2017-12-08",11797600
"DOGE","2017-12-09",6564530
"DOGE","2017-12-10",5614920
"DOGE","2017-12-11",7017140
"DOGE","2017-12-12",19228600
"DOGE","2017-12-13",31150900
"DOGE","2017-12-14",23426200
"DOGE","2017-12-15",19043800
"DOGE","2017-12-16",136352992
"DOGE","2017-12-17",99417200
"DOGE","2017-12-18",44158800
"DOGE","2017-12-19",38885700
"DOGE","2017-12-20",67820000
"DOGE","2017-12-21",159154000
"DOGE","2017-12-22",63693900
"DOGE","2017-12-23",70143104
"DOGE","2017-12-24",143767008
"DOGE","2017-12-25",178008992
"DOGE","2017-12-26",124427000
"DOGE","2017-12-27",63625500
"DOGE","2017-12-28",51201500
"DOGE","2017-12-29",62474900
"DOGE","2017-12-30",56175300
"DOGE","2017-12-31",62256400
"DOGE","2018-01-01",50616900
"DOGE","2018-01-02",89424096
"DOGE","2018-01-03",66349900
"DOGE","2018-01-04",108986000
"DOGE","2018-01-05",212383008
"DOGE","2018-01-06",283716992
"DOGE","2018-01-07",288184000
"DOGE","2018-01-08",235114000
"DOGE","2018-01-09",115255000
"DOGE","2018-01-10",100243000
"DOGE","2018-01-11",62722000
"DOGE","2018-01-12",56971300
"DOGE","2018-01-13",55890600
"DOGE","2018-01-14",65899000
"DOGE","2018-01-15",62765500
"DOGE","2018-01-16",68099200
"DOGE","2018-01-17",58846200
"DOGE","2018-01-18",56599300
"DOGE","2018-01-19",30335700
"DOGE","2018-01-20",22974100
"DOGE","2018-01-21",22933100
"DOGE","2018-01-22",19968600
"DOGE","2018-01-23",17882700
"DOGE","2018-01-24",17449900
"DOGE","2018-01-25",21329400
"DOGE","2018-01-26",19572300
"DOGE","2018-01-27",11672900
"DOGE","2018-01-28",14070700
"DOGE","2018-01-29",13073100
"DOGE","2018-01-30",15855900
"DOGE","2018-01-31",14754700
"DOGE","2018-02-01",18748700
"DOGE","2018-02-02",29913700
"DOGE","2018-02-03",18018100
"DOGE","2018-02-04",12961600
"DOGE","2018-02-05",12489400
"DOGE","2018-02-06",19139100
"DOGE","2018-02-07",12990100
"DOGE","2018-02-08",9462680
"DOGE","2018-02-09",11190100
"DOGE","2018-02-10",16717300
"DOGE","2018-02-11",11309800
"DOGE","2018-02-12",11124300
"DOGE","2018-02-13",14149700
"DOGE","2018-02-14",40527400
"DOGE","2018-02-15",43275000
"DOGE","2018-02-16",26553900
"DOGE","2018-02-17",18333100
"DOGE","2018-02-18",15291500
"DOGE","2018-02-19",13019200
"DOGE","2018-02-20",107911000
"DOGE","2018-02-21",36813100
"DOGE","2018-02-22",20365500
"DOGE","2018-02-23",19390500
"DOGE","2018-02-24",15687300
"DOGE","2018-02-25",11758800
"DOGE","2018-02-26",12068600
"DOGE","2018-02-27",12201900
"DOGE","2018-02-28",13227600
"DOGE","2018-03-01",15518400
"DOGE","2018-03-02",22498100
"DOGE","2018-03-03",21545000
"DOGE","2018-03-04",12133500
"DOGE","2018-03-05",13627700
"DOGE","2018-03-06",14766900
"DOGE","2018-03-07",17585500
"DOGE","2018-03-08",15499400
"DOGE","2018-03-09",13624400
"DOGE","2018-03-10",9880540
"DOGE","2018-03-11",9251440
"DOGE","2018-03-12",7601500
"DOGE","2018-03-13",6006560
"DOGE","2018-03-14",7532350
"DOGE","2018-03-15",9316740
"DOGE","2018-03-16",6407110
"DOGE","2018-03-17",6231110
"DOGE","2018-03-18",9029610
"DOGE","2018-03-19",8278910
"DOGE","2018-03-20",6638060
"DOGE","2018-03-21",6711100
"DOGE","2018-03-22",5210480
"DOGE","2018-03-23",6178530
"DOGE","2018-03-24",4461220
"DOGE","2018-03-25",3476340
"DOGE","2018-03-26",6061990
"DOGE","2018-03-27",5235300
"DOGE","2018-03-28",4912220
"DOGE","2018-03-29",5630550
"DOGE","2018-03-30",5378440
"DOGE","2018-03-31",3505010
"DOGE","2018-04-01",3373820
"DOGE","2018-04-02",5034000
"DOGE","2018-04-03",6618080
"DOGE","2018-04-04",5330250
"DOGE","2018-04-05",4829150
"DOGE","2018-04-06",2848290
"DOGE","2018-04-07",3034220
"DOGE","2018-04-08",3683180
"DOGE","2018-04-09",4827250
"DOGE","2018-04-10",10212100
"DOGE","2018-04-11",25292400
"DOGE","2018-04-12",13877700
"DOGE","2018-04-13",18150400
"DOGE","2018-04-14",13585900
